"","Colony","Individual","Individ_id","pers","Number_of_tracks","vals","nas","percent_na"
"318","Jan.Mayen",38,"NOS-4181645",25.2781,727,765,154,20.1307189542484
"319","Jan.Mayen",39,"NOS-4181646",24.7938,1090,849,231,27.208480565371
"320","Jan.Mayen",4,"NOS-4181604",26.1087,1210,1103,70,6.34632819582956
"321","Jan.Mayen",40,"NOS-4181647",25.414,1052,778,143,18.3804627249357
"322","Jan.Mayen",41,"NOS-4181650",24.601,1415,776,168,21.6494845360825
"323","Jan.Mayen",42,"NOS-4181651",25.3984,728,948,212,22.3628691983122
"324","Jan.Mayen",43,"NOS-4181654",23.8736,363,624,98,15.7051282051282
"325","Jan.Mayen",44,"NOS-4181655",25.6435,727,1101,148,13.4423251589464
"326","Jan.Mayen",45,"NOS-4181657",26.0886,727,969,32,3.30237358101135
"327","Jan.Mayen",46,"NOS-4181661",25.9026,729,1017,164,16.125860373648
"328","Jan.Mayen",47,"NOS-4181662",25.0121,687,863,42,4.8667439165701
"329","Jan.Mayen",48,"NOS-4181663",26.1845,323,837,45,5.3763440860215
"330","Jan.Mayen",49,"NOS-4181664",26.8591,1456,625,80,12.8
"331","Jan.Mayen",5,"NOS-4181605",24.9022,727,1155,362,31.3419913419913
"332","Jan.Mayen",50,"NOS-4181665",24.6651,363,982,12,1.22199592668024
"333","Jan.Mayen",51,"NOS-4181666",24.5333,1094,825,23,2.78787878787879
"334","Jan.Mayen",52,"NOS-4181667",27.2929,364,670,3,0.447761194029851
"335","Jan.Mayen",53,"NOS-4181668",25.5315,364,701,25,3.56633380884451
"336","Jan.Mayen",54,"NOS-4181670",24.7332,364,652,147,22.5460122699387
"337","Jan.Mayen",55,"NOS-4181674",26.624,730,504,12,2.38095238095238
"338","Jan.Mayen",6,"NOS-4181606",27.644,729,567,62,10.9347442680776
"339","Jan.Mayen",7,"NOS-4181607",24.6274,1300,1233,281,22.7899432278994
"340","Jan.Mayen",8,"NOS-4181608",25.7224,1822,1032,50,4.84496124031008
"341","Jan.Mayen",9,"NOS-4181610",25.2208,1823,893,17,1.9036954087346
