"","Colony","Individ_id","pers","Number_of_tracks"
"236","Eynhallow","GBT-FP96493",26.1426,729
"237","Eynhallow","GBT-FP96494",26.8965,364
"238","Eynhallow","GBT-FP96498",27.3736,363
"239","Eynhallow","GBT-FP96500",26.9701,1011
"240","Eynhallow","GBT-FR77703",26.2711,729
"241","Eynhallow","GBT-FR77804",27.3915,1817
"242","Eynhallow","GBT-FR77822",26.9091,730
"243","Eynhallow","GBT-FR77890",28.0973,1454
"244","Eynhallow","GBT-FR77984",26.714,364
"245","Eynhallow","GBT-FR77985",25.5675,367
"246","Eynhallow","GBT-FS68841",27.106,363
"247","Faroe.Islands","DKC-4074923",26.5446,366
"248","Faroe.Islands","DKC-4294430",27.2109,365
"249","Faroe.Islands","DKC-4294439",24.8243,730
"250","Faroe.Islands","DKC-4294440",26.3428,366
"251","Faroe.Islands","DKC-4294442",29.4227,194
"252","Faroe.Islands","DKC-4294448",25.585,728
"253","Faroe.Islands","DKC-4294450",27.5869,366
"254","Faroe.Islands","DKC-4298152",25.4512,363
"255","Faroe.Islands","DKC-4298251",23.3746,978
"256","Faroe.Islands","DKC-4298255",24.3589,364
"257","Faroe.Islands","DKC-4298258",25.3738,364
"258","Faroe.Islands","DKC-4298263",22.6139,363
"259","Faroe.Islands","DKC-4F-3042",26.2179,364
"260","Faroe.Islands","DKC-4F0156",26.9508,727
"261","Faroe.Islands","DKC-4F0158",24.4089,728
"262","Faroe.Islands","DKC-4F0160",25.1507,364
"263","Faroe.Islands","DKC-4F0161",24.6246,727
"264","Faroe.Islands","DKC-4F0164",26.1297,727
"265","Faroe.Islands","DKC-4F0166",26.4895,726
"266","Faroe.Islands","DKC-4F0167",24.5128,364
"267","Faroe.Islands","DKC-4F0168",25.8865,364
"268","Faroe.Islands","DKC-4F0169",25.0449,364
"269","Inishkea","GBT-FH15526",25.9525,730
"270","Inishkea","GBT-FH15698",27.4713,730
"271","Inishkea","GBT-FH78391",27.3025,730
"272","Inishkea","GBT-FH78393",27.1135,730
"273","Isle.of.Canna","GBT-FH49405",27.318,728
"274","Isle.of.Canna","GBT-FH49407",26.7194,363
"275","Isle.of.Canna","GBT-FH49494",26.3371,364
"276","Isle.of.Canna","GBT-FP29405",26.6319,364
"277","Isle.of.Canna","GBT-FP41256",24.8061,242
"278","Isle.of.Canna","GBT-FP48025",25.4326,364
"279","Isle.of.Canna","GBT-FP48027",25.522,364
"280","Isle.of.Canna","GBT-FP84411",27.5719,730
"281","Jan.Mayen","NOS-4181597",26.3254,369
"282","Jan.Mayen","NOS-4181600",24.3505,363
"283","Jan.Mayen","NOS-4181602",25.3534,2548
"284","Jan.Mayen","NOS-4181604",26.1087,1210
"285","Jan.Mayen","NOS-4181605",24.9022,727
"286","Jan.Mayen","NOS-4181606",27.644,729
"287","Jan.Mayen","NOS-4181607",24.6274,1300
"288","Jan.Mayen","NOS-4181608",25.7224,1822
"289","Jan.Mayen","NOS-4181610",25.2208,1823
"290","Jan.Mayen","NOS-4181611",23.0043,363
"291","Jan.Mayen","NOS-4181612",26.6253,689
"292","Jan.Mayen","NOS-4181614",25.1765,363
"293","Jan.Mayen","NOS-4181615",25.4328,1094
"294","Jan.Mayen","NOS-4181617",25.4729,364
"295","Jan.Mayen","NOS-4181620",24.7699,728
"296","Jan.Mayen","NOS-4181621",25.0939,1092
"297","Jan.Mayen","NOS-4181622",25.5201,1091
"298","Jan.Mayen","NOS-4181623",24.295,2183
"299","Jan.Mayen","NOS-4181624",25.2346,1458
"300","Jan.Mayen","NOS-4181625",25.2523,1457
"301","Jan.Mayen","NOS-4181626",25.2747,1414
"302","Jan.Mayen","NOS-4181627",22.8172,363
"303","Jan.Mayen","NOS-4181628",25.3948,364
"304","Jan.Mayen","NOS-4181629",26.1568,1823
"305","Jan.Mayen","NOS-4181630",25.2699,1455
"306","Jan.Mayen","NOS-4181631",26.5273,1092
"307","Jan.Mayen","NOS-4181632",25.195,729
"308","Jan.Mayen","NOS-4181633",26.5003,1458
"309","Jan.Mayen","NOS-4181634",24.7372,728
"310","Jan.Mayen","NOS-4181636",25.5611,728
"311","Jan.Mayen","NOS-4181637",25.3852,730
"312","Jan.Mayen","NOS-4181638",24.3034,726
"313","Jan.Mayen","NOS-4181639",24.944,1000
"314","Jan.Mayen","NOS-4181640",26.0584,1092
"315","Jan.Mayen","NOS-4181641",24.0636,727
"316","Jan.Mayen","NOS-4181642",24.5525,1092
"317","Jan.Mayen","NOS-4181644",26.6641,729
"318","Jan.Mayen","NOS-4181645",25.2781,727
"319","Jan.Mayen","NOS-4181646",24.7938,1090
