"","population","individual","b","c","exposure_score","Individ_id"
"121","Eynhallow",108,1.0000000001196,0.999138063113064,26.6551,"GBT-FP96228"
"122","Eynhallow",109,0.999999999799456,1.000764069709,26.612,"GBT-FP96234"
"123","Eynhallow",11,1.00000000026739,1.00407987928058,27.0337,"GBT-FC88717"
"124","Eynhallow",110,1.00000000034242,1.00019678200312,27.0513,"GBT-FP96235"
"125","Eynhallow",111,1.00000000015507,1.00005366803251,24.963,"GBT-FP96288"
"126","Eynhallow",112,0.999999999849024,1.00246543662101,27.4665,"GBT-FP96304"
"127","Eynhallow",113,1.00000000029013,1.01111911328327,26.8466,"GBT-FP96325"
"128","Eynhallow",114,0.999999999572537,1.00408295220931,27.3394,"GBT-FP96328"
"129","Eynhallow",115,1.00000000019054,0.996974701659082,27.2207,"GBT-FP96329"
"130","Eynhallow",116,0.99999999992383,0.995247777441253,25.5314,"GBT-FP96332"
"131","Eynhallow",117,1.00000000017963,1.00497329183324,26.4813,"GBT-FP96344"
"132","Eynhallow",118,1.00000000016189,1.00189487269332,25.3452,"GBT-FP96361"
"133","Eynhallow",119,1.00000000008185,1.01014585526834,27.0305,"GBT-FP96377"
"134","Eynhallow",12,1.00000000035016,1.00353878150843,26.0433,"GBT-FC88748"
"135","Eynhallow",120,1.00000000022646,1.00063036411557,27.6897,"GBT-FP96378"
"136","Eynhallow",121,1.00000000010891,1.00386191829101,26.9791,"GBT-FP96381"
"137","Eynhallow",122,1.00000000016985,1.00687046669371,26.295,"GBT-FP96399"
"138","Eynhallow",123,1.00000000011892,1.00405756582633,26.3722,"GBT-FP96400"
"139","Eynhallow",124,0.999999999780812,1.00588920651537,26.2434,"GBT-FP96491"
"140","Eynhallow",125,1.00000000005548,1.00058993744403,26.2072,"GBT-FP96492"
"141","Eynhallow",126,1.00000000033242,1.00445927115962,26.1426,"GBT-FP96493"
"142","Eynhallow",127,0.999999999967486,1.00029563749812,26.8965,"GBT-FP96494"
"143","Eynhallow",128,0.999999999967258,0.99992411217912,27.3736,"GBT-FP96498"
"144","Eynhallow",129,0.999999999713964,1.00990841689133,26.9701,"GBT-FP96500"
"145","Eynhallow",13,0.999999999775355,1.00981100750636,27.1255,"GBT-FH89003"
"146","Eynhallow",130,0.999999999867214,0.999956442310584,26.2711,"GBT-FR77703"
"147","Eynhallow",131,1.00000000025284,1.00337867309225,27.3915,"GBT-FR77804"
"148","Eynhallow",132,1.00000000014916,1.00606109720772,26.9091,"GBT-FR77822"
"149","Eynhallow",133,0.999999999930878,1.00606149811476,28.0973,"GBT-FR77890"
"150","Eynhallow",134,0.999999999953161,1.00091947334747,26.714,"GBT-FR77984"
"151","Eynhallow",135,1.00000000016917,1.00088694695042,25.5675,"GBT-FR77985"
"152","Eynhallow",136,1.00000000019281,1.00413175333425,27.106,"GBT-FS68841"
"153","Eynhallow",14,0.999999999773991,1.00188380982851,25.6656,"GBT-FH89004"
"154","Eynhallow",15,0.999999999662577,1.00100277393893,27.3651,"GBT-FH89005"
"155","Eynhallow",16,1.00000000017235,1.00881094406657,26.272,"GBT-FH89008"
"156","Eynhallow",17,1.00000000057662,1.01052004330031,27.1986,"GBT-FH89013"
"157","Eynhallow",18,1.00000000022237,1.00326348008201,26.6773,"GBT-FH89014"
"158","Eynhallow",19,1.00000000037653,1.00815412122889,26.763,"GBT-FH89016"
"159","Eynhallow",2,0.999999999992042,0.997763769148827,26.1906,"GBT-FC14562"
"160","Eynhallow",20,1.00000000006548,0.997728402377709,27.3955,"GBT-FH89017"
"161","Eynhallow",21,1.00000000012278,1.01248410945696,27.5845,"GBT-FH89018"
"162","Eynhallow",22,1.00000000021237,1.00335166719145,25.7588,"GBT-FH89020"
"163","Eynhallow",23,1.00000000008504,0.997689876470183,24.5265,"GBT-FH89021"
"164","Eynhallow",24,1.00000000042382,0.997896118849457,28.1125,"GBT-FH89023"
"165","Eynhallow",25,0.999999999784677,1.00457199311144,26.907,"GBT-FH89025"
"166","Eynhallow",26,0.999999999906322,1.0046006658521,27.7008,"GBT-FH89027"
"167","Eynhallow",27,0.999999999587089,1.00895827618792,26.8073,"GBT-FH89031"
"168","Eynhallow",28,0.999999999695319,1.00031106484277,26.825,"GBT-FH89034"
"169","Eynhallow",29,0.999999999975444,1.00652397339212,27.0815,"GBT-FH89036"
