"","population","individual","tracking_year","b","c","exposure_score","CI_lower","CI_upper"
"80","Bjørnøya","NOS.4182537",2017,0.999999999536158,0.993464671241587,25.7917,21.27035,27.93585
"81","Bjørnøya","NOS.4182538",2014,0.999999999923602,0.990670917945765,27.5841,21.27035,27.93585
"82","Bjørnøya","NOS.4182538",2015,0.999999999958163,0.993533564397205,22.8811,21.27035,27.93585
"83","Bjørnøya","NOS.4182539",2014,0.99999999989177,0.992970534589475,25.0115,21.27035,27.93585
"84","Bjørnøya","NOS.4182539",2015,1.00000000011732,0.993559004969719,21.2966,21.27035,27.93585
"85","Bjørnøya","NOS.4182539",2016,1.00000000048112,0.994595607103731,17.2324,21.27035,27.93585
"86","Bjørnøya","NOS.4182541",2014,1.0000000000764,0.99244983874958,26.3618,21.27035,27.93585
"87","Bjørnøya","NOS.4182541",2015,0.999999999936335,0.989649153964608,27.0884,21.27035,27.93585
"88","Bjørnøya","NOS.4182541",2016,0.999999999956344,0.99414873701478,25.3668,21.27035,27.93585
"89","Bjørnøya","NOS.4182542",2014,1.00000000008822,0.993840229030692,25.3929,21.27035,27.93585
"90","Bjørnøya","NOS.4182542",2015,1.00000000000091,0.990529763679091,26.0743,21.27035,27.93585
"91","Bjørnøya","NOS.4182543",2014,1.00000000005275,0.992572328841643,27.3646,21.27035,27.93585
"92","Bjørnøya","NOS.4182544",2014,1.00000000001728,0.994873922308257,24.4799,21.27035,27.93585
"93","Bjørnøya","NOS.4182544",2015,1.00000000031287,0.992247421741811,22.4776,21.27035,27.93585
"94","Bjørnøya","NOS.4182545",2014,0.99999999982083,0.993089770636027,25.8342,21.27035,27.93585
"95","Bjørnøya","NOS.4182545",2015,0.999999999936335,0.995503519247913,24.5301,21.27035,27.93585
"96","Bjørnøya","NOS.4182546",2014,1.00000000000182,0.990899894283809,25.0665,21.27035,27.93585
"97","Bjørnøya","NOS.4182546",2015,1.00000000016371,0.991362544497482,21.5304,21.27035,27.93585
"98","Bjørnøya","NOS.4182546",2016,1.00000000012551,0.990640851479525,24.1618,21.27035,27.93585
"99","Bjørnøya","NOS.4182546",2017,0.999999999988177,0.993002511231751,22.7739,21.27035,27.93585
"100","Bjørnøya","NOS.4182548",2014,1.00000000011005,0.991805382308609,26.1075,21.27035,27.93585
"101","Bjørnøya","NOS.4182548",2015,0.999999999770807,0.992178815907168,24.9528,21.27035,27.93585
"102","Bjørnøya","NOS.4182548",2016,0.999999999994543,0.98842805456408,26.3921,21.27035,27.93585
"103","Bjørnøya","NOS.4182549",2014,1.00000000027921,0.989464319537118,26.9522,21.27035,27.93585
"104","Bjørnøya","NOS.4182549",2015,0.999999999929059,0.991563808480448,26.2426,21.27035,27.93585
"105","Bjørnøya","NOS.4182549",2016,0.99999999991087,0.990243165928127,26.711,21.27035,27.93585
"106","Bjørnøya","NOS.4182549",2017,1.00000000009095,0.993208496135006,26.1845,21.27035,27.93585
"107","Bjørnøya","NOS.4214401",2014,0.999999999961801,0.989724494242962,27.6665,21.27035,27.93585
"108","Bjørnøya","NOS.4214401",2016,1.00000000011187,0.991678329919026,26.3328,21.27035,27.93585
"109","Bjørnøya","NOS.4214403",2015,1.00000000016644,0.99453982704347,22.5864,21.27035,27.93585
"110","Bjørnøya","NOS.4214403",2016,0.999999999925421,0.991645677482983,19.4957,21.27035,27.93585
"111","Bjørnøya","NOS.4214403",2017,0.999999999696229,0.990247792878577,23.6665,21.27035,27.93585
"112","Bjørnøya","NOS.4214405",2016,1.000000000201,0.990316114734473,27.2669,21.27035,27.93585
"113","Bjørnøya","NOS.4214405",2017,1.00000000019099,0.993831985345008,26.0086,21.27035,27.93585
"114","Bjørnøya","NOS.4214405",2018,1.00000000005548,0.989851632241135,25.6034,21.27035,27.93585
"115","Bjørnøya","NOS.4214408",2015,1.0000000000382,0.994307825820591,25.8064,21.27035,27.93585
"116","Bjørnøya","NOS.4214408",2016,1.00000000014916,0.992130562631743,26.7985,21.27035,27.93585
"117","Bjørnøya","NOS.4214408",2017,1.00000000013915,0.992640069254197,26.6461,21.27035,27.93585
"118","Bjørnøya","NOS.4214433",2016,0.99999999983811,0.990159144970849,25.8858,21.27035,27.93585
"119","Bjørnøya","NOS.4214433",2017,1.00000000006821,0.990712008769785,24.3888,21.27035,27.93585
"120","Bjørnøya","NOS.4214434",2016,0.999999999976353,0.993632610521454,26.0371,21.27035,27.93585
"121","Bjørnøya","NOS.4214434",2017,1.00000000012187,0.992833564403032,25.4338,21.27035,27.93585
"122","Bjørnøya","NOS.4214435",2016,1.00000000022465,0.991347222043017,25.9115,21.27035,27.93585
"123","Bjørnøya","NOS.4214435",2017,0.999999999758984,0.99454093844786,22.9022,21.27035,27.93585
"124","Bjørnøya","NOS.4214435",2018,1.00000000036925,0.992286913788848,25.2164,21.27035,27.93585
"125","Bjørnøya","NOS.4282351",2017,0.999999999542524,0.993139941303904,23.1858,21.27035,27.93585
"126","Bjørnøya","NOS.4282351",2018,1.00000000006548,0.990568208440263,23.5696,21.27035,27.93585
"127","Bjørnøya","NOS.4282353",2017,1.00000000032833,0.993321493373094,26.3354,21.27035,27.93585
"128","Bjørnøya","NOS.4282356",2017,1.00000000045566,0.99024908631209,24.6854,21.27035,27.93585
"129","Bjørnøya","NOS.4282356",2018,0.999999999845386,0.989870702592598,24.0434,21.27035,27.93585
"130","Bjørnøya","NOS.4282357",2017,1.00000000031469,0.990953255187625,23.9015,21.27035,27.93585
"131","Bjørnøya","NOS.4282357",2018,0.999999999481588,0.990959573247404,21.2616,21.27035,27.93585
"132","Bjørnøya","NOS.4282358",2017,0.999999999505235,0.992851752646467,27.0824,21.27035,27.93585
"133","Bjørnøya","NOS.4282358",2018,0.99999999981992,0.992769993054275,25.1255,21.27035,27.93585
"134","Bjørnøya","NOS.4282361",2017,1.0000000001246,0.990953289269587,25.3689,21.27035,27.93585
"135","Bjørnøya","NOS.4282361",2018,1.00000000078671,0.987703167738003,27.7809,21.27035,27.93585
"136","Bjørnøya","NOS.4282362",2017,0.999999999843567,0.987738217208692,27.3332,21.27035,27.93585
"137","Bjørnøya","NOS.4282362",2018,1.00000000024284,0.991284897815638,27.3026,21.27035,27.93585
"138","Bjørnøya","NOS.5109523",2014,0.999999999829924,0.99172586908584,25.6457,21.27035,27.93585
"139","Iceland","ISR.336161",2014,0.999999999854481,1.00360008916964,23.228,20.6424575,25.4516225
"140","Iceland","ISR.336161",2015,1.00000000016917,1.00034423823801,23.223,20.6424575,25.4516225
"141","Iceland","ISR.336161",2016,1.00000000000409,0.998572085353218,23.5128,20.6424575,25.4516225
"142","Iceland","ISR.336161",2017,0.99999999994543,1.00100904419302,23.518,20.6424575,25.4516225
"143","Iceland","ISR.336161",2018,1.00000000017189,0.999999089919548,23.7896,20.6424575,25.4516225
"144","Iceland","ISR.336161",2019,0.999999999944521,0.999647181303345,23.3142,20.6424575,25.4516225
"145","Iceland","ISR.336163",2014,1.00000000017644,1.00532453133807,24.2662,20.6424575,25.4516225
"146","Iceland","ISR.336163",2015,0.999999999818101,1.00002278216986,23.7006,20.6424575,25.4516225
"147","Iceland","ISR.336163",2016,1.0000000000191,0.997619189336607,23.9324,20.6424575,25.4516225
"148","Iceland","ISR.336163",2017,1.00000000007958,0.998563620512654,23.3976,20.6424575,25.4516225
"149","Iceland","ISR.336163",2018,0.99999999977581,1.00243164463685,23.338,20.6424575,25.4516225
"150","Iceland","ISR.336163",2019,0.999999999944066,1.00233184795288,23.473,20.6424575,25.4516225
"151","Iceland","ISR.336166",2015,1.00000000012869,0.998408449898352,23.5504,20.6424575,25.4516225
