"name","vals","nas","percent_na"
"Eynhallow_GBT.FP05150_2014",338,8,2.36686390532544
"Eynhallow_GBT.FP05183_2016",708,9,1.27118644067797
"Eynhallow_GBT.FP05183_2017",740,6,0.810810810810811
"Eynhallow_GBT.FP05183_2018",620,8,1.29032258064516
"Eynhallow_GBT.FP05183_2019",654,15,2.29357798165138
"Eynhallow_GBT.FP05183_2020",792,14,1.76767676767677
"Eynhallow_GBT.FP05192_2010",679,54,7.95287187039764
"Eynhallow_GBT.FP05192_2014",606,69,11.3861386138614
"Eynhallow_GBT.FP05203_2010",859,10,1.16414435389988
"Eynhallow_GBT.FP05203_2011",619,9,1.45395799676898
"Eynhallow_GBT.FP05205_2014",246,9,3.65853658536585
"Eynhallow_GBT.FP05208_2009",179,4,2.23463687150838
"Eynhallow_GBT.FP05208_2010",208,6,2.88461538461538
"Eynhallow_GBT.FP05214_2017",404,13,3.21782178217822
"Eynhallow_GBT.FP05214_2019",238,5,2.10084033613445
"Eynhallow_GBT.FP05214_2020",226,7,3.09734513274336
"Eynhallow_GBT.FP05222_2010",582,5,0.859106529209622
"Eynhallow_GBT.FP05224_2011",257,9,3.50194552529183
"Eynhallow_GBT.FP05229_2009",217,9,4.14746543778802
"Eynhallow_GBT.FP05231_2009",376,8,2.12765957446809
"Eynhallow_GBT.FP05238_2010",770,7,0.909090909090909
"Eynhallow_GBT.FP05238_2011",551,9,1.63339382940109
"Eynhallow_GBT.FP05238_2012",621,9,1.44927536231884
"Eynhallow_GBT.FP05238_2017",569,10,1.75746924428823
"Eynhallow_GBT.FP05238_2018",438,3,0.684931506849315
"Eynhallow_GBT.FP05238_2019",400,3,0.75
"Eynhallow_GBT.FP05238_2020",614,5,0.814332247557003
"Eynhallow_GBT.FP05438_2007",750,10,1.33333333333333
"Eynhallow_GBT.FP05438_2008",474,4,0.843881856540084
"Eynhallow_GBT.FP05438_2010",685,7,1.02189781021898
"Eynhallow_GBT.FP96010_2010",513,17,3.31384015594542
"Eynhallow_GBT.FP96010_2011",386,11,2.84974093264249
"Eynhallow_GBT.FP96018_2008",644,6,0.93167701863354
"Eynhallow_GBT.FP96018_2009",436,6,1.37614678899083
"Eynhallow_GBT.FP96027_2010",1056,60,5.68181818181818
"Eynhallow_GBT.FP96037_2008",662,9,1.3595166163142
"Eynhallow_GBT.FP96037_2010",712,7,0.98314606741573
"Eynhallow_GBT.FP96037_2011",685,2,0.291970802919708
"Eynhallow_GBT.FP96037_2017",844,12,1.4218009478673
"Eynhallow_GBT.FP96044_2008",215,7,3.25581395348837
"Eynhallow_GBT.FP96044_2009",453,12,2.64900662251656
"Eynhallow_GBT.FP96045_2008",607,4,0.658978583196046
"Eynhallow_GBT.FP96054_2014",715,17,2.37762237762238
"Eynhallow_GBT.FP96054_2015",626,14,2.23642172523962
"Eynhallow_GBT.FP96054_2016",886,146,16.4785553047404
"Eynhallow_GBT.FP96054_2017",606,11,1.81518151815182
"Eynhallow_GBT.FP96054_2018",771,24,3.11284046692607
"Eynhallow_GBT.FP96054_2019",671,21,3.12965722801788
"Eynhallow_GBT.FP96054_2020",669,19,2.84005979073244
"Eynhallow_GBT.FP96057_2007",440,8,1.81818181818182
"Eynhallow_GBT.FP96064_2016",277,3,1.08303249097473
"Eynhallow_GBT.FP96075_2007",729,4,0.548696844993141
"Eynhallow_GBT.FP96075_2008",717,11,1.53417015341702
"Eynhallow_GBT.FP96076_2007",540,16,2.96296296296296
"Eynhallow_GBT.FP96076_2010",647,29,4.4822256568779
"Eynhallow_GBT.FP96077_2006",351,7,1.99430199430199
"Eynhallow_GBT.FP96078_2006",476,21,4.41176470588235
"Eynhallow_GBT.FP96123_2015",349,9,2.57879656160458
"Eynhallow_GBT.FP96129_2009",371,8,2.15633423180593
"Eynhallow_GBT.FP96129_2010",457,7,1.53172866520788
"Eynhallow_GBT.FP96129_2011",395,12,3.0379746835443
"Eynhallow_GBT.FP96129_2012",153,8,5.22875816993464
"Eynhallow_GBT.FP96139_2010",596,25,4.19463087248322
"Eynhallow_GBT.FP96139_2011",625,107,17.12
"Eynhallow_GBT.FP96139_2012",335,9,2.6865671641791
"Eynhallow_GBT.FP96147_2016",1030,353,34.2718446601942
"Eynhallow_GBT.FP96147_2017",570,20,3.50877192982456
"Eynhallow_GBT.FP96151_2008",777,119,15.3153153153153
"Eynhallow_GBT.FP96151_2014",564,43,7.6241134751773
"Eynhallow_GBT.FP96151_2015",660,107,16.2121212121212
"Eynhallow_GBT.FP96151_2016",513,4,0.779727095516569
"Eynhallow_GBT.FP96151_2017",528,57,10.7954545454545
"Eynhallow_GBT.FP96152_2010",676,5,0.739644970414201
"Eynhallow_GBT.FP96152_2011",418,14,3.34928229665072
"Eynhallow_GBT.FP96155_2008",404,3,0.742574257425743
"Eynhallow_GBT.FP96155_2010",571,11,1.92644483362522
"Eynhallow_GBT.FP96155_2011",712,10,1.40449438202247
"Eynhallow_GBT.FP96156_2008",124,8,6.45161290322581
"Eynhallow_GBT.FP96157_2008",145,0,0
"Eynhallow_GBT.FP96157_2010",193,1,0.518134715025907
"Eynhallow_GBT.FP96158_2008",299,5,1.67224080267559
"Eynhallow_GBT.FP96159_2008",528,3,0.568181818181818
"Eynhallow_GBT.FP96159_2009",552,12,2.17391304347826
"Eynhallow_GBT.FP96159_2010",444,7,1.57657657657658
"Eynhallow_GBT.FP96159_2011",483,6,1.24223602484472
"Eynhallow_GBT.FP96160_2008",708,8,1.12994350282486
"Eynhallow_GBT.FP96161_2008",572,6,1.04895104895105
"Eynhallow_GBT.FP96161_2012",296,5,1.68918918918919
"Eynhallow_GBT.FP96162_2008",230,9,3.91304347826087
"Eynhallow_GBT.FP96162_2009",521,10,1.91938579654511
"Eynhallow_GBT.FP96162_2010",521,9,1.7274472168906
"Eynhallow_GBT.FP96162_2011",657,13,1.97869101978691
"Eynhallow_GBT.FP96186_2017",404,2,0.495049504950495
"Eynhallow_GBT.FP96193_2009",607,18,2.96540362438221
"Eynhallow_GBT.FP96193_2010",575,28,4.8695652173913
"Eynhallow_GBT.FP96194_2009",215,6,2.7906976744186
"Eynhallow_GBT.FP96194_2010",242,8,3.30578512396694
"Eynhallow_GBT.FP96194_2011",203,9,4.43349753694581
"Eynhallow_GBT.FP96194_2015",182,9,4.94505494505495
"Eynhallow_GBT.FP96194_2016",222,6,2.7027027027027
"Eynhallow_GBT.FP96195_2009",932,281,30.1502145922747
"Eynhallow_GBT.FP96195_2010",663,143,21.5686274509804
"Eynhallow_GBT.FP96195_2011",838,266,31.7422434367542
"Eynhallow_GBT.FP96195_2014",392,8,2.04081632653061
