"","Colony","udoi_Overlap_score","ba_Overlap_score","harmonic_mean","Tracking_year","CI_lower","CI_upper"
"37","Jarsteinen",0.545174689480019,0.851808382937366,0.664838937326234,"2012",0.509839975343357,0.827165756010871
"38","Jarsteinen",0.78309742857952,0.922473308118635,0.847090607240867,"2015",0.509839975343357,0.827165756010871
"39","Jarsteinen",0.493659700426216,0.837894425109302,0.621281107475674,"2016",0.509839975343357,0.827165756010871
"40","Jarsteinen",0.400627828162754,0.772821460838235,0.527698616915567,"2018",0.509839975343357,0.827165756010871
"41","Bjørnøya",0.743775545932815,0.948135117967022,0.833613417103853,"2014",0.757029979786674,0.83574163337321
"42","Bjørnøya",0.703489603707902,0.925376396620909,0.799320109091941,"2015",0.757029979786674,0.83574163337321
"43","Bjørnøya",0.648875799876538,0.907101549731657,0.756561454830417,"2016",0.757029979786674,0.83574163337321
"44","Bjørnøya",0.66216884153974,0.895190772812035,0.761246704392985,"2017",0.757029979786674,0.83574163337321
"45","Bjørnøya",0.748614646021218,0.946426199417054,0.835978101847583,"2018",0.757029979786674,0.83574163337321
"46","Jan Mayen",0.427613928892225,0.770507806960578,0.549993979271274,"2017",0.50124552221199,0.597295034876383
"47","Jan Mayen",0.382482611094514,0.725110621249515,0.500801549971433,"2018",0.50124552221199,0.597295034876383
"48","Jan Mayen",0.484843256943394,0.802736650102598,0.604547259201166,"2016",0.50124552221199,0.597295034876383
"49","Jan Mayen",0.415440007046776,0.769266856159374,0.539516125159969,"2014",0.50124552221199,0.597295034876383
"50","Jan Mayen",0.433080558092781,0.777124294182511,0.556199097035948,"2015",0.50124552221199,0.597295034876383
"51","Jan Mayen",0.383089992331121,0.735412516080581,0.503761364908482,"2019",0.50124552221199,0.597295034876383
"52","Jan Mayen",0.405003273993728,0.791751064316381,0.535885708488757,"2020",0.50124552221199,0.597295034876383
"53","Alkefjellet",0.520365015382942,0.854636128180541,0.646868904901318,"2015",0.634480898233915,0.755566665413305
"54","Alkefjellet",0.535628720603619,0.85219107708479,0.657805886742696,"2016",0.634480898233915,0.755566665413305
"55","Alkefjellet",0.620891708261446,0.86999884159444,0.724634101403709,"2017",0.634480898233915,0.755566665413305
"56","Alkefjellet",0.636279296681995,0.886609176956912,0.740869831653487,"2018",0.634480898233915,0.755566665413305
"57","Alkefjellet",0.64854047122137,0.910945096847155,0.757666213093279,"2019",0.634480898233915,0.755566665413305
"58","Alkefjellet",0.511467458810996,0.829296509188617,0.632711182995714,"2020",0.634480898233915,0.755566665413305
